 Total dimension =        38412
 n             i         j         k         Jab          Tab         Ttot
           405         2         1         2         0         1         3
           406         2         1         2         1         0         1
           407         2         1         2         1         1         1
           408         2         1         2         1         1         3
           409         2         1         3         0         0         1
           410         2         1         3         0         1         1
           411         2         1         3         0         1         3
           412         2         1         3         1         0         1
           413         2         1         3         1         1         1
           414         2         1         3         1         1         3
           415         2         1         4         0         0         1
           416         2         1         4         0         1         1
           417         2         1         4         0         1         3
           418         2         1         4         1         0         1
           419         2         1         4         1         1         1
           420         2         1         4         1         1         3
           421         2         1         5         0         0         1
           422         2         1         5         0         1         1
           423         2         1         5         0         1         3
           424         2         1         5         1         0         1
           425         2         1         5         1         1         1
           426         2         1         5         1         1         3
           427         2         1         6         0         0         1
           428         2         1         6         0         1         1
           429         2         1         6         0         1         3
           430         2         1         6         1         0         1
           431         2         1         6         1         1         1
           432         2         1         6         1         1         3
           433         2         1         7         0         0         1
           434         2         1         7         0         1         1
           435         2         1         7         0         1         3
           436         2         1         7         1         0         1
           437         2         1         7         1         1         1
           438         2         1         7         1         1         3
           439         2         1         8         0         0         1
           440         2         1         8         0         1         1
           441         2         1         8         0         1         3
           442         2         1         8         1         0         1
           443         2         1         8         1         1         1
           444         2         1         8         1         1         3
           445         2         1         9         0         0         1
           446         2         1         9         0         1         1
           447         2         1         9         0         1         3
           448         2         1         9         1         0         1
           449         2         1         9         1         1         1
           450         2         1         9         1         1         3
           451         2         1        10         0         0         1
           452         2         1        10         0         1         1
           453         2         1        10         0         1         3
           454         2         1        10         1         0         1
           455         2         1        10         1         1         1
           456         2         1        10         1         1         3
           457         2         1        11         0         0         1
           458         2         1        11         0         1         1
           459         2         1        11         0         1         3
           460         2         1        11         1         0         1
           461         2         1        11         1         1         1
           462         2         1        11         1         1         3
           463         2         1        12         0         0         1
           464         2         1        12         0         1         1
           465         2         1        12         0         1         3
           466         2         1        12         1         0         1
           467         2         1        12         1         1         1
           468         2         1        12         1         1         3
           469         2         1        13         0         0         1
           470         2         1        13         0         1         1
           471         2         1        13         0         1         3
           472         2         1        13         1         0         1
           473         2         1        13         1         1         1
           474         2         1        13         1         1         3
           475         2         1        14         0         0         1
           476         2         1        14         0         1         1
           477         2         1        14         0         1         3
           478         2         1        14         1         0         1
           479         2         1        14         1         1         1
           480         2         1        14         1         1         3
           481         2         1        15         0         0         1
           482         2         1        15         0         1         1
           483         2         1        15         0         1         3
           484         2         1        15         1         0         1
           485         2         1        15         1         1         1
           486         2         1        15         1         1         3
           487         2         1        16         0         0         1
           488         2         1        16         0         1         1
           489         2         1        16         0         1         3
           490         2         1        16         1         0         1
           491         2         1        16         1         1         1
           492         2         1        16         1         1         3
           493         2         1        17         0         0         1
           494         2         1        17         0         1         1
           495         2         1        17         0         1         3
           496         2         1        17         1         0         1
           497         2         1        17         1         1         1
           498         2         1        17         1         1         3
           499         2         1        18         0         0         1
           500         2         1        18         0         1         1
           501         2         1        18         0         1         3
           502         2         1        18         1         0         1
           503         2         1        18         1         1         1
           504         2         1        18         1         1         3
           505         2         1        19         0         0         1
           506         2         1        19         0         1         1
           507         2         1        19         0         1         3
           508         2         1        19         1         0         1
           509         2         1        19         1         1         1
           510         2         1        19         1         1         3
           511         2         1        20         0         0         1
           512         2         1        20         0         1         1
           513         2         1        20         0         1         3
           514         2         1        20         1         0         1
           515         2         1        20         1         1         1
           516         2         1        20         1         1         3
           517         2         1        21         0         0         1
           518         2         1        21         0         1         1
           519         2         1        21         0         1         3
           520         2         1        21         1         0         1
           521         2         1        21         1         1         1
           522         2         1        21         1         1         3
           523         2         1        22         0         0         1
           524         2         1        22         0         1         1
           525         2         1        22         0         1         3
           526         2         1        22         1         0         1
           527         2         1        22         1         1         1
           528         2         1        22         1         1         3
           529         2         1        23         0         0         1
           530         2         1        23         0         1         1
           531         2         1        23         0         1         3
           532         2         1        23         1         0         1
           533         2         1        23         1         1         1
           534         2         1        23         1         1         3
           535         2         1        24         0         0         1
           536         2         1        24         0         1         1
           537         2         1        24         0         1         3
           538         2         1        24         1         0         1
           539         2         1        24         1         1         1
           540         2         1        24         1         1         3
           541         2         1        25         0         0         1
           542         2         1        25         0         1         1
           543         2         1        25         0         1         3
           544         2         1        25         1         0         1
           545         2         1        25         1         1         1
           546         2         1        25         1         1         3
           547         2         1        26         0         0         1
           548         2         1        26         0         1         1
           549         2         1        26         0         1         3
           550         2         1        26         1         0         1
           551         2         1        26         1         1         1
           552         2         1        26         1         1         3
           553         2         1        27         0         0         1
           554         2         1        27         0         1         1
           555         2         1        27         0         1         3
           556         2         1        27         1         0         1
           557         2         1        27         1         1         1
           558         2         1        27         1         1         3
           559         2         1        28         0         0         1
           560         2         1        28         0         1         1
           561         2         1        28         0         1         3
           562         2         1        28         1         0         1
           563         2         1        28         1         1         1
           564         2         1        28         1         1         3
           565         2         1        29         0         0         1
           566         2         1        29         0         1         1
           567         2         1        29         0         1         3
           568         2         1        29         1         0         1
           569         2         1        29         1         1         1
           570         2         1        29         1         1         3
           571         2         1        30         0         0         1
           572         2         1        30         0         1         1
           573         2         1        30         0         1         3
           574         2         1        30         1         0         1
           575         2         1        30         1         1         1
           576         2         1        30         1         1         3
           577         2         1        31         0         0         1
           578         2         1        31         0         1         1
           579         2         1        31         0         1         3
           580         2         1        31         1         0         1
           581         2         1        31         1         1         1
           582         2         1        31         1         1         3
           583         2         1        32         0         0         1
           584         2         1        32         0         1         1
           585         2         1        32         0         1         3
           586         2         1        32         1         0         1
           587         2         1        32         1         1         1
           588         2         1        32         1         1         3
           589         2         1        33         0         0         1
           590         2         1        33         0         1         1
           591         2         1        33         0         1         3
           592         2         1        33         1         0         1
           593         2         1        33         1         1         1
           594         2         1        33         1         1         3
           595         2         1        34         0         0         1
           596         2         1        34         0         1         1
           597         2         1        34         0         1         3
           598         2         1        34         1         0         1
           599         2         1        34         1         1         1
