 Total dimension =        38412
 n             i         j         k         Jab          Tab         Ttot
         13650        11         2        16         1         1         3
         13651        11         2        17         0         0         1
         13652        11         2        17         0         1         1
         13653        11         2        17         0         1         3
         13654        11         2        17         1         0         1
         13655        11         2        17         1         1         1
         13656        11         2        17         1         1         3
         13657        11         2        18         0         0         1
         13658        11         2        18         0         1         1
         13659        11         2        18         0         1         3
         13660        11         2        18         1         0         1
         13661        11         2        18         1         1         1
         13662        11         2        18         1         1         3
         13663        11         2        19         0         0         1
         13664        11         2        19         0         1         1
         13665        11         2        19         0         1         3
         13666        11         2        19         1         0         1
         13667        11         2        19         1         1         1
         13668        11         2        19         1         1         3
         13669        11         2        20         0         0         1
         13670        11         2        20         0         1         1
         13671        11         2        20         0         1         3
         13672        11         2        20         1         0         1
         13673        11         2        20         1         1         1
         13674        11         2        20         1         1         3
         13675        11         2        21         0         0         1
         13676        11         2        21         0         1         1
         13677        11         2        21         0         1         3
         13678        11         2        21         1         0         1
         13679        11         2        21         1         1         1
         13680        11         2        21         1         1         3
         13681        11         3         1         1         0         1
         13682        11         3         1         1         1         1
         13683        11         3         1         1         1         3
         13684        11         3         1         2         0         1
         13685        11         3         1         2         1         1
         13686        11         3         1         2         1         3
         13687        11         3         2         1         0         1
         13688        11         3         2         1         1         1
         13689        11         3         2         1         1         3
         13690        11         3         2         2         0         1
         13691        11         3         2         2         1         1
         13692        11         3         2         2         1         3
         13693        11         3         3         1         0         1
         13694        11         3         3         1         1         1
         13695        11         3         3         1         1         3
         13696        11         3         3         2         0         1
         13697        11         3         3         2         1         1
         13698        11         3         3         2         1         3
         13699        11         3         4         1         0         1
         13700        11         3         4         1         1         1
         13701        11         3         4         1         1         3
         13702        11         3         4         2         0         1
         13703        11         3         4         2         1         1
         13704        11         3         4         2         1         3
         13705        11         3         5         1         0         1
         13706        11         3         5         1         1         1
         13707        11         3         5         1         1         3
         13708        11         3         5         2         0         1
         13709        11         3         5         2         1         1
         13710        11         3         5         2         1         3
         13711        11         3         6         1         0         1
         13712        11         3         6         1         1         1
         13713        11         3         6         1         1         3
         13714        11         3         6         2         0         1
         13715        11         3         6         2         1         1
         13716        11         3         6         2         1         3
         13717        11         3         7         1         0         1
         13718        11         3         7         1         1         1
         13719        11         3         7         1         1         3
         13720        11         3         7         2         0         1
         13721        11         3         7         2         1         1
         13722        11         3         7         2         1         3
         13723        11         3         8         1         0         1
         13724        11         3         8         1         1         1
         13725        11         3         8         1         1         3
         13726        11         3         8         2         0         1
         13727        11         3         8         2         1         1
         13728        11         3         8         2         1         3
         13729        11         3         9         1         0         1
         13730        11         3         9         1         1         1
         13731        11         3         9         1         1         3
         13732        11         3         9         2         0         1
         13733        11         3         9         2         1         1
         13734        11         3         9         2         1         3
         13735        11         3        10         1         0         1
         13736        11         3        10         1         1         1
         13737        11         3        10         1         1         3
         13738        11         3        10         2         0         1
         13739        11         3        10         2         1         1
         13740        11         3        10         2         1         3
         13741        11         3        11         1         0         1
         13742        11         3        11         1         1         1
         13743        11         3        11         1         1         3
         13744        11         3        11         2         0         1
         13745        11         3        11         2         1         1
         13746        11         3        11         2         1         3
         13747        11         3        12         1         0         1
         13748        11         3        12         1         1         1
         13749        11         3        12         1         1         3
         13750        11         3        12         2         0         1
         13751        11         3        12         2         1         1
         13752        11         3        12         2         1         3
         13753        11         3        13         1         0         1
         13754        11         3        13         1         1         1
         13755        11         3        13         1         1         3
         13756        11         3        13         2         0         1
         13757        11         3        13         2         1         1
         13758        11         3        13         2         1         3
         13759        11         3        14         1         0         1
         13760        11         3        14         1         1         1
         13761        11         3        14         1         1         3
         13762        11         3        14         2         0         1
         13763        11         3        14         2         1         1
         13764        11         3        14         2         1         3
         13765        11         3        15         1         0         1
         13766        11         3        15         1         1         1
         13767        11         3        15         1         1         3
         13768        11         3        15         2         0         1
         13769        11         3        15         2         1         1
         13770        11         3        15         2         1         3
         13771        11         3        16         1         0         1
         13772        11         3        16         1         1         1
         13773        11         3        16         1         1         3
         13774        11         3        16         2         0         1
         13775        11         3        16         2         1         1
         13776        11         3        16         2         1         3
         13777        11         3        17         1         0         1
         13778        11         3        17         1         1         1
         13779        11         3        17         1         1         3
         13780        11         3        17         2         0         1
         13781        11         3        17         2         1         1
         13782        11         3        17         2         1         3
         13783        11         3        18         1         0         1
         13784        11         3        18         1         1         1
         13785        11         3        18         1         1         3
         13786        11         3        18         2         0         1
         13787        11         3        18         2         1         1
         13788        11         3        18         2         1         3
         13789        11         3        19         1         0         1
         13790        11         3        19         1         1         1
         13791        11         3        19         1         1         3
         13792        11         3        19         2         0         1
         13793        11         3        19         2         1         1
         13794        11         3        19         2         1         3
         13795        11         3        20         1         0         1
         13796        11         3        20         1         1         1
         13797        11         3        20         1         1         3
         13798        11         3        20         2         0         1
         13799        11         3        20         2         1         1
         13800        11         3        20         2         1         3
         13801        11         3        21         1         0         1
         13802        11         3        21         1         1         1
         13803        11         3        21         1         1         3
         13804        11         3        21         2         0         1
         13805        11         3        21         2         1         1
         13806        11         3        21         2         1         3
         13807        11         4         1         0         0         1
         13808        11         4         1         0         1         1
         13809        11         4         1         0         1         3
         13810        11         4         1         1         0         1
         13811        11         4         1         1         1         1
         13812        11         4         1         1         1         3
         13813        11         4         2         0         0         1
         13814        11         4         2         0         1         1
         13815        11         4         2         0         1         3
         13816        11         4         2         1         0         1
         13817        11         4         2         1         1         1
         13818        11         4         2         1         1         3
         13819        11         4         3         0         0         1
         13820        11         4         3         0         1         1
         13821        11         4         3         0         1         3
         13822        11         4         3         1         0         1
         13823        11         4         3         1         1         1
         13824        11         4         3         1         1         3
         13825        11         4         4         0         0         1
         13826        11         4         4         0         1         1
         13827        11         4         4         0         1         3
         13828        11         4         4         1         0         1
         13829        11         4         4         1         1         1
         13830        11         4         4         1         1         3
         13831        11         4         5         0         0         1
         13832        11         4         5         0         1         1
         13833        11         4         5         0         1         3
         13834        11         4         5         1         0         1
         13835        11         4         5         1         1         1
         13836        11         4         5         1         1         3
         13837        11         4         6         0         0         1
         13838        11         4         6         0         1         1
         13839        11         4         6         0         1         3
         13840        11         4         6         1         0         1
         13841        11         4         6         1         1         1
         13842        11         4         6         1         1         3
         13843        11         4         7         0         0         1
         13844        11         4         7         0         1         1
         13845        11         4         7         0         1         3
         13846        11         4         7         1         0         1
         13847        11         4         7         1         1         1
         13848        11         4         7         1         1         3
         13849        11         4         8         0         0         1
         13850        11         4         8         0         1         1
         13851        11         4         8         0         1         3
         13852        11         4         8         1         0         1
         13853        11         4         8         1         1         1
         13854        11         4         8         1         1         3
         13855        11         4         9         0         0         1
         13856        11         4         9         0         1         1
         13857        11         4         9         0         1         3
         13858        11         4         9         1         0         1
         13859        11         4         9         1         1         1
         13860        11         4         9         1         1         3
         13861        11         4        10         0         0         1
         13862        11         4        10         0         1         1
         13863        11         4        10         0         1         3
         13864        11         4        10         1         0         1
         13865        11         4        10         1         1         1
         13866        11         4        10         1         1         3
         13867        11         4        11         0         0         1
         13868        11         4        11         0         1         1
         13869        11         4        11         0         1         3
         13870        11         4        11         1         0         1
         13871        11         4        11         1         1         1
         13872        11         4        11         1         1         3
         13873        11         4        12         0         0         1
         13874        11         4        12         0         1         1
         13875        11         4        12         0         1         3
         13876        11         4        12         1         0         1
         13877        11         4        12         1         1         1
         13878        11         4        12         1         1         3
         13879        11         4        13         0         0         1
         13880        11         4        13         0         1         1
         13881        11         4        13         0         1         3
         13882        11         4        13         1         0         1
         13883        11         4        13         1         1         1
         13884        11         4        13         1         1         3
         13885        11         4        14         0         0         1
         13886        11         4        14         0         1         1
         13887        11         4        14         0         1         3
         13888        11         4        14         1         0         1
         13889        11         4        14         1         1         1
         13890        11         4        14         1         1         3
         13891        11         4        15         0         0         1
         13892        11         4        15         0         1         1
         13893        11         4        15         0         1         3
         13894        11         4        15         1         0         1
         13895        11         4        15         1         1         1
         13896        11         4        15         1         1         3
         13897        11         5         1         1         0         1
         13898        11         5         1         1         1         1
         13899        11         5         1         1         1         3
         13900        11         5         1         2         0         1
         13901        11         5         1         2         1         1
         13902        11         5         1         2         1         3
         13903        11         5         2         1         0         1
         13904        11         5         2         1         1         1
         13905        11         5         2         1         1         3
         13906        11         5         2         2         0         1
         13907        11         5         2         2         1         1
         13908        11         5         2         2         1         3
         13909        11         5         3         1         0         1
         13910        11         5         3         1         1         1
         13911        11         5         3         1         1         3
         13912        11         5         3         2         0         1
         13913        11         5         3         2         1         1
         13914        11         5         3         2         1         3
         13915        11         5         4         1         0         1
         13916        11         5         4         1         1         1
         13917        11         5         4         1         1         3
         13918        11         5         4         2         0         1
         13919        11         5         4         2         1         1
         13920        11         5         4         2         1         3
         13921        11         5         5         1         0         1
         13922        11         5         5         1         1         1
         13923        11         5         5         1         1         3
         13924        11         5         5         2         0         1
         13925        11         5         5         2         1         1
         13926        11         5         5         2         1         3
         13927        11         5         6         1         0         1
         13928        11         5         6         1         1         1
         13929        11         5         6         1         1         3
         13930        11         5         6         2         0         1
         13931        11         5         6         2         1         1
         13932        11         5         6         2         1         3
         13933        11         5         7         1         0         1
         13934        11         5         7         1         1         1
         13935        11         5         7         1         1         3
         13936        11         5         7         2         0         1
         13937        11         5         7         2         1         1
         13938        11         5         7         2         1         3
         13939        11         5         8         1         0         1
         13940        11         5         8         1         1         1
         13941        11         5         8         1         1         3
         13942        11         5         8         2         0         1
         13943        11         5         8         2         1         1
         13944        11         5         8         2         1         3
         13945        11         5         9         1         0         1
         13946        11         5         9         1         1         1
         13947        11         5         9         1         1         3
         13948        11         5         9         2         0         1
         13949        11         5         9         2         1         1
         13950        11         5         9         2         1         3
         13951        11         5        10         1         0         1
         13952        11         5        10         1         1         1
         13953        11         5        10         1         1         3
         13954        11         5        10         2         0         1
         13955        11         5        10         2         1         1
         13956        11         5        10         2         1         3
         13957        11         5        11         1         0         1
         13958        11         5        11         1         1         1
         13959        11         5        11         1         1         3
         13960        11         5        11         2         0         1
         13961        11         5        11         2         1         1
         13962        11         5        11         2         1         3
         13963        11         5        12         1         0         1
         13964        11         5        12         1         1         1
         13965        11         5        12         1         1         3
         13966        11         5        12         2         0         1
         13967        11         5        12         2         1         1
         13968        11         5        12         2         1         3
         13969        11         5        13         1         0         1
         13970        11         5        13         1         1         1
         13971        11         5        13         1         1         3
         13972        11         5        13         2         0         1
         13973        11         5        13         2         1         1
         13974        11         5        13         2         1         3
         13975        11         5        14         1         0         1
         13976        11         5        14         1         1         1
         13977        11         5        14         1         1         3
         13978        11         5        14         2         0         1
         13979        11         5        14         2         1         1
         13980        11         5        14         2         1         3
         13981        11         5        15         1         0         1
         13982        11         5        15         1         1         1
         13983        11         5        15         1         1         3
         13984        11         5        15         2         0         1
         13985        11         5        15         2         1         1
         13986        11         5        15         2         1         3
         13987        11         6         1         2         0         1
         13988        11         6         1         2         1         1
         13989        11         6         1         2         1         3
         13990        11         6         1         3         0         1
         13991        11         6         1         3         1         1
         13992        11         6         1         3         1         3
         13993        11         6         2         2         0         1
         13994        11         6         2         2         1         1
         13995        11         6         2         2         1         3
         13996        11         6         2         3         0         1
         13997        11         6         2         3         1         1
         13998        11         6         2         3         1         3
         13999        11         6         3         2         0         1
         14000        11         6         3         2         1         1
         14001        11         6         3         2         1         3
         14002        11         6         3         3         0         1
         14003        11         6         3         3         1         1
         14004        11         6         3         3         1         3
         14005        11         6         4         2         0         1
         14006        11         6         4         2         1         1
         14007        11         6         4         2         1         3
         14008        11         6         4         3         0         1
         14009        11         6         4         3         1         1
         14010        11         6         4         3         1         3
         14011        11         6         5         2         0         1
         14012        11         6         5         2         1         1
         14013        11         6         5         2         1         3
         14014        11         6         5         3         0         1
         14015        11         6         5         3         1         1
         14016        11         6         5         3         1         3
         14017        11         6         6         2         0         1
         14018        11         6         6         2         1         1
         14019        11         6         6         2         1         3
         14020        11         6         6         3         0         1
         14021        11         6         6         3         1         1
         14022        11         6         6         3         1         3
         14023        11         6         7         2         0         1
         14024        11         6         7         2         1         1
         14025        11         6         7         2         1         3
         14026        11         6         7         3         0         1
         14027        11         6         7         3         1         1
         14028        11         6         7         3         1         3
         14029        11         6         8         2         0         1
         14030        11         6         8         2         1         1
         14031        11         6         8         2         1         3
         14032        11         6         8         3         0         1
         14033        11         6         8         3         1         1
         14034        11         6         8         3         1         3
         14035        11         6         9         2         0         1
         14036        11         6         9         2         1         1
         14037        11         6         9         2         1         3
         14038        11         6         9         3         0         1
         14039        11         6         9         3         1         1
         14040        11         6         9         3         1         3
         14041        11         6        10         2         0         1
         14042        11         6        10         2         1         1
         14043        11         6        10         2         1         3
         14044        11         6        10         3         0         1
         14045        11         6        10         3         1         1
         14046        11         6        10         3         1         3
         14047        11         6        11         2         0         1
         14048        11         6        11         2         1         1
         14049        11         6        11         2         1         3
         14050        11         6        11         3         0         1
         14051        11         6        11         3         1         1
         14052        11         6        11         3         1         3
         14053        11         6        12         2         0         1
         14054        11         6        12         2         1         1
         14055        11         6        12         2         1         3
         14056        11         6        12         3         0         1
         14057        11         6        12         3         1         1
         14058        11         6        12         3         1         3
         14059        11         6        13         2         0         1
         14060        11         6        13         2         1         1
         14061        11         6        13         2         1         3
         14062        11         6        13         3         0         1
         14063        11         6        13         3         1         1
         14064        11         6        13         3         1         3
         14065        11         6        14         2         0         1
         14066        11         6        14         2         1         1
         14067        11         6        14         2         1         3
         14068        11         6        14         3         0         1
         14069        11         6        14         3         1         1
         14070        11         6        14         3         1         3
         14071        11         6        15         2         0         1
         14072        11         6        15         2         1         1
         14073        11         6        15         2         1         3
         14074        11         6        15         3         0         1
         14075        11         6        15         3         1         1
         14076        11         6        15         3         1         3
         14077        11         7         1         0         0         1
         14078        11         7         1         0         1         1
         14079        11         7         1         0         1         3
         14080        11         7         1         1         0         1
         14081        11         7         1         1         1         1
         14082        11         7         1         1         1         3
         14083        11         7         2         0         0         1
         14084        11         7         2         0         1         1
         14085        11         7         2         0         1         3
         14086        11         7         2         1         0         1
         14087        11         7         2         1         1         1
         14088        11         7         2         1         1         3
         14089        11         7         3         0         0         1
         14090        11         7         3         0         1         1
         14091        11         7         3         0         1         3
         14092        11         7         3         1         0         1
         14093        11         7         3         1         1         1
         14094        11         7         3         1         1         3
         14095        11         7         4         0         0         1
         14096        11         7         4         0         1         1
         14097        11         7         4         0         1         3
         14098        11         7         4         1         0         1
         14099        11         7         4         1         1         1
         14100        11         7         4         1         1         3
         14101        11         7         5         0         0         1
         14102        11         7         5         0         1         1
         14103        11         7         5         0         1         3
         14104        11         7         5         1         0         1
         14105        11         7         5         1         1         1
         14106        11         7         5         1         1         3
         14107        11         7         6         0         0         1
         14108        11         7         6         0         1         1
         14109        11         7         6         0         1         3
         14110        11         7         6         1         0         1
         14111        11         7         6         1         1         1
         14112        11         7         6         1         1         3
         14113        11         7         7         0         0         1
         14114        11         7         7         0         1         1
         14115        11         7         7         0         1         3
         14116        11         7         7         1         0         1
         14117        11         7         7         1         1         1
         14118        11         7         7         1         1         3
         14119        11         7         8         0         0         1
         14120        11         7         8         0         1         1
         14121        11         7         8         0         1         3
         14122        11         7         8         1         0         1
         14123        11         7         8         1         1         1
         14124        11         7         8         1         1         3
         14125        11         7         9         0         0         1
         14126        11         7         9         0         1         1
         14127        11         7         9         0         1         3
         14128        11         7         9         1         0         1
         14129        11         7         9         1         1         1
         14130        11         7         9         1         1         3
         14131        11         7        10         0         0         1
         14132        11         7        10         0         1         1
         14133        11         7        10         0         1         3
         14134        11         7        10         1         0         1
         14135        11         7        10         1         1         1
         14136        11         7        10         1         1         3
         14137        11         8         1         1         0         1
         14138        11         8         1         1         1         1
         14139        11         8         1         1         1         3
         14140        11         8         1         2         0         1
         14141        11         8         1         2         1         1
         14142        11         8         1         2         1         3
         14143        11         8         2         1         0         1
         14144        11         8         2         1         1         1
         14145        11         8         2         1         1         3
         14146        11         8         2         2         0         1
         14147        11         8         2         2         1         1
         14148        11         8         2         2         1         3
         14149        11         8         3         1         0         1
         14150        11         8         3         1         1         1
         14151        11         8         3         1         1         3
         14152        11         8         3         2         0         1
         14153        11         8         3         2         1         1
         14154        11         8         3         2         1         3
         14155        11         8         4         1         0         1
         14156        11         8         4         1         1         1
         14157        11         8         4         1         1         3
         14158        11         8         4         2         0         1
         14159        11         8         4         2         1         1
         14160        11         8         4         2         1         3
         14161        11         8         5         1         0         1
         14162        11         8         5         1         1         1
         14163        11         8         5         1         1         3
         14164        11         8         5         2         0         1
         14165        11         8         5         2         1         1
         14166        11         8         5         2         1         3
         14167        11         8         6         1         0         1
         14168        11         8         6         1         1         1
         14169        11         8         6         1         1         3
         14170        11         8         6         2         0         1
         14171        11         8         6         2         1         1
         14172        11         8         6         2         1         3
         14173        11         8         7         1         0         1
         14174        11         8         7         1         1         1
         14175        11         8         7         1         1         3
         14176        11         8         7         2         0         1
         14177        11         8         7         2         1         1
         14178        11         8         7         2         1         3
         14179        11         8         8         1         0         1
         14180        11         8         8         1         1         1
         14181        11         8         8         1         1         3
         14182        11         8         8         2         0         1
         14183        11         8         8         2         1         1
         14184        11         8         8         2         1         3
         14185        11         8         9         1         0         1
         14186        11         8         9         1         1         1
         14187        11         8         9         1         1         3
         14188        11         8         9         2         0         1
         14189        11         8         9         2         1         1
         14190        11         8         9         2         1         3
         14191        11         8        10         1         0         1
         14192        11         8        10         1         1         1
         14193        11         8        10         1         1         3
         14194        11         8        10         2         0         1
         14195        11         8        10         2         1         1
         14196        11         8        10         2         1         3
         14197        11         9         1         2         0         1
         14198        11         9         1         2         1         1
         14199        11         9         1         2         1         3
         14200        11         9         1         3         0         1
         14201        11         9         1         3         1         1
         14202        11         9         1         3         1         3
         14203        11         9         2         2         0         1
         14204        11         9         2         2         1         1
         14205        11         9         2         2         1         3
         14206        11         9         2         3         0         1
         14207        11         9         2         3         1         1
         14208        11         9         2         3         1         3
         14209        11         9         3         2         0         1
         14210        11         9         3         2         1         1
         14211        11         9         3         2         1         3
         14212        11         9         3         3         0         1
         14213        11         9         3         3         1         1
         14214        11         9         3         3         1         3
         14215        11         9         4         2         0         1
         14216        11         9         4         2         1         1
         14217        11         9         4         2         1         3
         14218        11         9         4         3         0         1
         14219        11         9         4         3         1         1
         14220        11         9         4         3         1         3
         14221        11         9         5         2         0         1
         14222        11         9         5         2         1         1
         14223        11         9         5         2         1         3
         14224        11         9         5         3         0         1
         14225        11         9         5         3         1         1
         14226        11         9         5         3         1         3
         14227        11         9         6         2         0         1
         14228        11         9         6         2         1         1
         14229        11         9         6         2         1         3
         14230        11         9         6         3         0         1
         14231        11         9         6         3         1         1
         14232        11         9         6         3         1         3
         14233        11         9         7         2         0         1
         14234        11         9         7         2         1         1
         14235        11         9         7         2         1         3
         14236        11         9         7         3         0         1
         14237        11         9         7         3         1         1
         14238        11         9         7         3         1         3
         14239        11         9         8         2         0         1
         14240        11         9         8         2         1         1
         14241        11         9         8         2         1         3
         14242        11         9         8         3         0         1
         14243        11         9         8         3         1         1
         14244        11         9         8         3         1         3
         14245        11         9         9         2         0         1
         14246        11         9         9         2         1         1
         14247        11         9         9         2         1         3
         14248        11         9         9         3         0         1
         14249        11         9         9         3         1         1
