 E1 transition densities
 TDA phonon=  0.374440704758204     
   2.16000000000000      -0.592332081529645      -0.603926261847901     
   2.18400000000000      -0.614463880531453      -0.626225443901545     
   2.20800000000000      -0.636458162158053      -0.648365854617914     
   2.23200000000000      -0.658266019973172      -0.670297787586202     
   2.25600000000000      -0.679838714479642      -0.691971786774661     
   2.28000000000000      -0.701127857719932      -0.713338834851051     
   2.30400000000000      -0.722085595426367      -0.734350538547706     
   2.32800000000000      -0.742664785809336      -0.754959310143438     
   2.35200000000000      -0.762819174104146      -0.775118544170673     
   2.37600000000000      -0.782503562034371      -0.794782788497284     
   2.40000000000000      -0.801673971391415      -0.813907908978279     
   2.42400000000000      -0.820287800975949      -0.832451246922299     
   2.44800000000000      -0.838303976196673      -0.850371768671381     
   2.47200000000000      -0.855683090674975      -0.867630206649268     
